base_number,japanese_text,russian_translation,english_original,converb_te_copula,converb_te_no_comma,converb_i_adjective,converb_te_comma,converb_te_period,converb_i,converb_nagara,converb_tari,converbs_amount,types_of_converbs,direct_speech,connection_type_ja,connection_type_en,conjunction_original,lexis,subject,comments
1-2-3,不思議とか神秘とかそんな非常識はまるっきり認めない人種で、まか不思議な出来事が彼らの周辺で起こるなんて、とうてい考えられなかった,"[Они] были такими людьми, которые абсолютно не позволили бы [произойти] такому абсурду, как странности или загадки [te], и никоим образом не смогли бы представить, что в их окружении возникнет что-то вроде большой странности.","They were the last people you’d expect to be involved in anything strange or mysterious, because they just didn’t hold with such nonsense.",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,because,-,"[2 (te), (0)]",
1-2-7(1),奥さんの方はやせて、金髪で、なんと首の長さが普通の人の二倍はある。,"‘Что же касается жены, то она была худой [te], блондинкой [te], и с шеей в два раза длиннее [шеи] обычного человека.’","Mrs Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbours.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and ,-,"[2 (te), (0)]","ВА (ТЭ, ...)"
1-2-7(2),奥さんの方はやせて、金髪で、なんと首の長さが普通の人の二倍はある。,"‘Что же касается жены, то она была худой [te], блондинкой [te], и с шеей в два раза длиннее [шеи] обычного человека.’","Mrs Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbours.",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and ,-,"[2 (te), (0)]",
1-2-31,八時半、ダーズリー氏は鞄を持ち、奥さんの頬にちょこっとキスして、それからダドリー坊やにもバイバイのキスをしようとしたが、しそこなった。,"‘В половине девятого мистер Дурсль, держа сумку [i], коротко поцеловал жену в щёку [te], а затем попытался поцеловать на прощание и сына Дадли тоже, но промахнулся, потому что сын, разозлившись, бросил в центр стены тарелку хлопьев.’","At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.",нет,нет,нет,да,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and ,-,"[2 (te), (0)]",
1-2-32,坊やがかんしゃくを起こして、コーンフレークを皿ごと壁に投げつけている最中だったからだ。,"‘...потому что сын, разозлившись [te], бросил в центр стены тарелку хлопьев.’",because Dudley was now having a tantrum and throwing his cereal at the walls.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ ,нет,причинность,последовательность действий,and ,-,"[3 (te), (0)]","ГА (ТЭ, ...)"
1-2-34,「わんぱく坊主め」ダーズリー氏は満足げに笑いながら家を出て、自家用車に乗りこみ、四番地の路地をバックで出て行った。,"“Непослушный мальчик,” – с довольным видом рассмеявшись [nagara], мистер Дурсль вышел из дома [te], сел в автомобиль [i] и выехал из переулка номер четыре.’","‘Little tyke,’ chortled Mr Dursley as he left the house. He got into his car and backed out of number four’s drive.",нет,нет,нет,да,нет,да,да,нет,3,"НАГАРА, ТЭ, И",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]","Интересно, этот прогрессив включает в сферу действия предыдущее ДЭТЭ. У меня пока нет ответа, а это важно"
1-2-39,ダーズリー氏は瞬きをして、もう一度猫をよく見なおした。,"‘Мистер Дурсль ещё раз моргнул [te], внимательно посмотрел на кошку.’",Mr Dursley blinked and stared at the cat.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
1-2-41,ダーズリー氏は体をブルッと振って気をとりなおし、猫のことを頭の中から振り払った,"Мистер Дурсль потряс телом [te], пришёл в себя [i], выбросил кошку из головы.",Mr Dursley gave himself a little shake and put the cat out of his mind.,нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
1-2-42,街に向かって車を走らせているうちに、彼の頭は、その日に取りたいと思っている穴あけドリルの大口注文のことでいっぱいになった,"Пока [он], повернувшись к городу [te], вёл машину, его голова была полна [мыслей о том], как он хочет сегодня взять большой заказ на дрели.",As he drove towards town he thought of nothing except a large order of drills he was hoping to get that day.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
1-3-2,何やら興奮してささやき合っている,"[Они], волнуясь [te], о чём-то шептались друг с другом.",They were whispering excitedly together,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,adv,-,"[2 (te), (0)]",
